# Gene Family	RAG_100	RAG_101	RAG_102	RAG_103	RAG_104	RAG_105	RAG_106	RAG_107	RAG_108
K06173	9.387	22.583	29.498	9.558	49.371	31.346	11.238	33.983	4.149
K06174	0	0	0	0	0	1.15	1.185	0	1.213
K06175	1.245	0	0	0	0	0	0	0	0
K06176	7.349	0.624	0	0.368	0.288	0.881	0.761	0.663	0
K06177	6.657	0.225	0.185	1.257	3.876	1.886	0	5.677	0
K06178	2.746	1.047	1.416	0	5.86	18.063	3.6	1.391	0.425
K06179	3.058	0.628	0.529	0	0	9.961	0	1.592	0
K06180	4.669	16.105	19.074	10.53	38.359	32.246	25.918	18.826	2.956
K06181	3.488	0	0	0	0.699	0.201	0	0.5	0
K06182	1.135	0	0.759	0.339	0	0.282	0	0.383	0.6
K06183	1.396	8.661	14.306	0.43	0.28	4.052	0	4.834	0.352
K06186	6.806	0	0	0	0	1.277	0	0.576	0
K06187	7.29	12.706	35.065	50.648	134.013	42.645	16.325	64.105	1.353
K06188	1.611	0.231	0	0	0	1.395	2.846	0	0
K06189	2.334	0	0.39	0	0	0.454	0	0.696	0
K06190	4.241	0	0	0	0	0.387	0	0.584	0
K06191	9.363	1.791	0.75	0	0.347	0.731	0.689	3.116	0
K06192	0.49	0	0	0	0	0	0	0	0
K06193	5.776	2.514	0	0	0	0.527	0	0.595	0
K06194	1.632	0	0	0	0	0	0	0.497	0
K06195	2.419	0	0	0	0	0.326	0	0.393	0
K06196	0	0	0	0	0	0	2.603	0	0
K06197	2.815	0	0	0	0	0	0	0	0
K06198	0	0.947	1.055	0.306	0	0	0	0	0
K06199	6.42	8.619	4.371	7.146	56.318	13.803	8.306	21.343	0
K06200	1.105	7.185	10.008	3.748	0.876	3.38	26.223	5.765	0
K06201	3.583	1.024	17.097	5.596	54.218	17.123	3.973	38.175	1.065
K06202	6.184	0	0.531	0	0.361	0.999	1.073	0.903	0
K06203	6.329	0	0	0.805	0	0	0	0.977	0
K06204	3.138	0	0.203	0	0.206	0.49	0	0.443	0
K06205	0	0	0	0	0.322	1.359	0	1.075	0
K06206	3.704	2.788	15.98	0.862	1.242	10.04	2.3	4.664	0
K06207	3.574	4.679	20.823	0.592	8.52	3.492	4.187	2.276	0
K06208	0	0	0	0	0	0	0	0	0
K06209	0.266	1.322	10.051	1.089	1.512	2.326	5.649	2.847	1.922
K06211	6.297	0	0	0	0.448	0.851	0.355	0.47	0
K06212	0	0	0	0	0	0	0	0	0
K06213	1.119	4.928	15.245	3.859	29.609	8.6	5.998	29.997	0.885
K06214	2.998	0	0	0	0.282	0.372	0	0.742	0
K06215	3.042	7.786	4.602	3.317	1.153	16.606	9.188	3.295	0.938
K06216	0	0.244	0	0	0	0	0	0	0
K06217	4.488	6.146	12.884	6.704	44.065	27.339	16.154	35.031	0.591
K06218	5.185	0	0	0	0	0	0	0	0
K06219	1.784	0	0	0	0	0	0	0	0
K06221	3.988	0	0.861	0	0	0	0.553	0.243	0.658
K06222	2.796	0	0	0.503	0	0	0	0	0
K06223	11.043	0.798	6.503	0.27	0	47.907	3.377	5.941	4.501
K06281	3.095	0	0.097	0	0.097	0	0	0.344	0
K06282	2.387	0.279	1.163	3.149	0.357	0.807	0	0.275	0.5
K06283	0.504	2.76	8.67	0	0.978	2.909	1.453	2.633	2.89
K06284	0.529	0.904	0.488	0.402	0.634	12.567	0.498	0.663	0.989
K06286	0	1.495	0	0	0	0	1.901	0	0
K06287	8.909	5.275	33.058	53.986	50.474	18.817	9.957	42.659	1.982
K06295	0.337	0.362	0	0	0	10.568	0	0	0
K06297	0	0	0	0	0	0	0	0	0
K06298	0	0.371	2.092	0.263	0	0.391	0	0	0
K06310	0	5.983	4.371	0.309	0.904	3.685	0	0.856	0
K06317	0.445	1.043	6.328	0	0.24	3.38	8.434	0	0
K06320	0.369	0.776	0	0	0	0	0	0	1.323
K06330	0	0	0	0	0.348	0	0	0.684	0
K06331	0	0	0	0	0	0	0	0	0
K06333	0.514	1.348	3.418	1.529	2.946	16.269	0	1.504	0.869
K06334	1.706	7.298	12.26	0.345	1.332	34.814	3.139	0.964	1.17
K06346	0.666	3.125	10.316	0.768	1.083	4.238	18.596	3.166	1.893
K06348	0	0	0	0	0	0	0	0	0
K06350	0	0	0	0	0	0	3.362	0	0
K06351	0	0	0	0	0	0.53	2.662	0	0
K06370	0	0	0	0	0	0	0	0	0
K06373	0	0	0.799	0	0.595	9.341	0	0.583	0
K06374	0.586	0.385	0.666	0.542	0	10.484	0	0.121	0
K06378	0	5.797	2.23	0	0.884	1.581	0	0.181	0
K06379	1.237	6.572	5.569	0.568	1.24	12.374	2.932	1.039	0
K06381	1.76	10.564	4.004	0.829	0.914	13.662	7.003	1.742	0.636
K06382	2.068	11.401	22.169	1.021	2.214	17.685	1.125	6.588	1.251
K06383	0.557	2.398	3.942	0	1.234	10.961	1.788	0.678	0.445
K06384	0	0.892	0	0	0	0	0	0	0
K06385	1.059	10.521	13.908	1.305	0.41	14.335	0.547	3.895	1.041
K06387	1.268	2.753	2.564	1.115	0.927	13.017	0	0.506	0.868
K06390	0.994	5.926	0.781	0	0.671	11.737	0	0.153	0.913
K06391	0.176	5.653	0.275	0.551	1.662	10.275	0.371	0	0.759
K06392	0.582	21.216	20.955	5.112	1.781	21.111	11.608	11.871	2.922
K06393	0.708	0.291	2.549	0	1.971	14.251	0	0.667	0.436
K06394	1.611	0.831	3.387	0	1.395	10.075	1.138	0.197	0
K06395	0	1.672	5.398	0	0	1.451	0	0.494	0
K06396	0	1.412	3.009	0	1.065	2.391	0.971	0.486	0
K06397	0	5.556	2.425	0.569	1.921	12.209	0.741	0.186	0.535
K06398	3.726	7.094	24.686	0.335	1.432	14.484	3.353	5.752	2.909
K06399	0.38	7.113	2.558	0.343	0	1.161	0	0	0
K06400	0.25	0	0.46	0.381	0.297	1.363	2.278	1.234	0
K06403	0.718	9.89	19.749	0.852	0.867	4.904	0.529	4.945	0.659
K06404	0.836	5.203	3.402	0	0.707	2.233	0	0.826	0.804
K06405	2.563	11.448	22.459	1.669	0.709	8.456	0.811	5.789	2.224
K06406	0.835	9.59	12.59	0.621	0.174	12.386	0	4.75	1.01
K06407	0.736	10.561	25.808	1.155	0.749	14.796	2.982	6.024	2.669
K06408	0	1.597	1.695	0	0	0.517	0	0	0.507
K06409	1.444	2.757	4.439	0.242	1.215	4.506	5.369	0.689	0.856
K06410	0.743	0	0.533	0	0.571	13.534	0	0.136	0.957
K06411	0	4.981	0.216	0	0	0	0.436	0	0.601
K06412	1.283	10.788	26.319	1.342	0.935	10.346	2.371	12.897	0.639
K06413	0.515	0	0	0	0	0	0	0	0
K06416	0	0.605	0	0	0	11.081	0	0	0
K06436	0	0	0	0	0	0	0	0	0
K06438	0.276	1.161	0.215	0	0	0	0	0	0
K06442	0.164	0.566	2.521	0.369	1.07	11.632	4.894	1.846	0
K06445	0	0	0	0	0	0	0	0	0
K06447	3.395	0	0	0	0	0	0	0.093	0
K06518	6.073	0.32	0.819	0.804	6.231	0.81	3.095	1.424	0
K06603	0.511	1.408	0	0	0	0	0	0	1.268
K06605	0.257	0	0	0	0	0	0	0	0
