# Gene Familys	demo_Abundance-RPKs
UniRef90_A6KXY5|g__Bacteroides.s__Bacteroides_vulgatus	41.1263843037
UniRef90_A0A1Y3ZE18	40.6904891737
UniRef90_A0A1Y3ZE18|g__Bacteroides.s__Bacteroides_vulgatus	40.6904891737
UniRef90_A0A174M183	40.6514305892
UniRef90_A0A174M183|g__Bacteroides.s__Bacteroides_vulgatus	40.6514305892
UniRef90_A0A396BH28	40.6075822849
UniRef90_A0A396BH28|g__Bacteroides.s__Bacteroides_vulgatus	40.6075822849
UniRef90_A0A0P0L8N9	40.5850711334
UniRef90_A0A0P0L8N9|g__Bacteroides.s__Bacteroides_vulgatus	40.5850711334
UniRef90_C3RE72	40.4920376861
UniRef90_C3RE72|g__Bacteroides.s__Bacteroides_vulgatus	40.4920376861
UniRef90_A0A3E5EDG4	40.4411866945
UniRef90_A0A3E5EDG4|g__Bacteroides.s__Bacteroides_vulgatus	40.4411866945
UniRef90_A0A076IYC1	40.4354283473
UniRef90_A0A076IYC1|g__Bacteroides.s__Bacteroides_vulgatus	40.4354283473
UniRef90_A6L1P5	40.2320307641
UniRef90_A6L1P5|g__Bacteroides.s__Bacteroides_vulgatus	40.2320307641
UniRef90_A0A081TW72	39.7024394015
UniRef90_A0A081TW72|g__Bacteroides.s__Bacteroides_vulgatus	39.7024394015
UniRef90_A6L1V8	39.6417698237
UniRef90_A6L1V8|g__Bacteroides.s__Bacteroides_vulgatus	39.6417698237
UniRef90_A0A076INP4	39.4820223554
UniRef90_A0A076INP4|g__Bacteroides.s__Bacteroides_vulgatus	39.4820223554
UniRef90_A6L089	39.3596570552
UniRef90_A6L089|g__Bacteroides.s__Bacteroides_vulgatus	39.3596570552
UniRef90_A0A0K2HHR9	39.3284265815
UniRef90_A0A0K2HHR9|g__Bacteroides.s__Bacteroides_vulgatus	39.3284265815
UniRef90_A0A015W6F0	39.1405512931
UniRef90_A0A015W6F0|g__Bacteroides.s__Bacteroides_vulgatus	39.1405512931
UniRef90_C3R9E8	39.0506831974
